College Name,Genders Accepted,Total811Student811Enrollments,Total Faculty,Established Year,University,City,State,College Type,Average Fees
ITS Engineering College,Co-Ed,1638,117,2006,"Dr APJ Abdul Kalam Technical University, Lucknow",Greater Noida,Uttar Pradesh,Private,412000
Srinivasa Ramanujan Institute of Technology,Co-Ed,2409,155,2008,"Jawaharlal Nehru Technological University, Anantapur",Chedulla,Andhra Pradesh,Private,170625
Neotia Institute of Technology Management and Science,Co-Ed,359,53,2002,"Maulana Abul Kalam Azad University of Technology, Kolkata",Jhinga,West Bengal,Private,434000
Lendi Institute of Engineering and Technology,Co-Ed,2449,154,2008,"Jawaharlal Nehru Technological University, Kakinada",Jonnada,Andhra Pradesh,Private,192888.8889
BTL Institute of Technology and Management,Co-Ed,628,149,1997,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,213000
Arya College of Engineering and Research Centre,Co-Ed,920,83,2007,"Rajasthan Technical University, Kota",Jaipur,Rajasthan,Private,284200
Chhatrapati Shivaji Maharaj Institute of Technology,Co-Ed,714,61,2014,"University of Mumbai, Mumbai",Panvel,Maharashtra,Private,230666.6667
SR Engineering College,Co-Ed,2665,235,2002,"Jawaharlal Nehru Technological University, Hyderabad",Anantasagar Colony,Telangana,Private,229454.5455
Trinity College of Engineering and Research,Co-Ed,1441,63,2008,"Savitribai Phule Pune University, Pune",Yewalewadi,Maharashtra,Private,272785.7143
Sri Shakthi Institute of Engineering and Technology,Co-Ed,2815,345,2006,"Anna University, Chennai",Coimbatore,Tamil Nadu,Private,160000
Parul Institute of Technology,Co-Ed,2956,154,2010,"Parul University, Vadodara",Limda,Gujarat,Private,293750
Narsimha Reddy Engineering College,Co-Ed,1676,136,2007,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,128436.3636
Guru Premsukh Memorial College of Engineering,Co-Ed,811,69,1997,"Guru Gobind Singh Indraprastha University, Delhi",New Delhi,Delhi,Private,317000
Bharat Institute of Engineering and Technology,Co-Ed,2807,271,2001,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,204000
Shree Guru Gobind Singh Tricentenary University,Co-Ed,5884,367,2013,,Gurgaon,Haryana,Private,1133446.328
Sinhgad College of Architecture,Co-Ed,722,76,2000,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,265666.6667
Sandip Institute of Technology and Research Center,Co-Ed,2382,137,2008,"Savitribai Phule Pune University, Pune",Mahiravni,Maharashtra,Private,324200
Regent Education and Research Foundation Group of Institutions,Co-Ed,1630,120,2009,"Maulana Abul Kalam Azad University of Technology, Kolkata",Bara Kanthalia,West Bengal,Private,235200
