College Name,Genders Accepted,Total811Student811Enrollments,Total Faculty,Established Year,University,City,State,College Type,Average Fees
Vedica Institute of Technology,Co-Ed,811,163,2005,"RKDF University, Bhopal",Bhopal,Madhya Pradesh,Private,143600
Vaishnavi Institute of Technology and Science,Co-Ed,1133,85,2010,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Bhopal,Madhya Pradesh,Private,158750
TRR Engineering College,Co-Ed,195,145,2002,"Jawaharlal Nehru Technological University, Anantapur",Hyderabad,Telangana,Private,106583.3333
TRR College of Engineering and Technology,Co-Ed,354,182,2008,"Jawaharlal Nehru Technological University, Anantapur",Hyderabad,Telangana,Private,87818.18182
The Kavery Engineering College,Co-Ed,2061,253,2006,"Anna University, Chennai",M.Kalipatti,Tamil Nadu,Private,217857.1429
Technology Education and Research Institute,Co-Ed,673,46,2007,"Kurukshetra University, Kurukshetra",Kurukshetra,Haryana,Private,303500
Syed Ammal Engineering College,Co-Ed,1175,99,1998,"Anna University, Chennai",Ramanathapuram,Tamil Nadu,Private,143333.3333
Swami Parmanand College of Engineering and Technology,Co-Ed,962,98,2004,"IK Gujral Punjab Technical University, Jalandhar",aganpur,Punjab,Private,220000
Suryodaya College of Engineering and Technology,Co-Ed,936,73,2010,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Vhirgaon,Maharashtra,Private,244285.7143
Surya School of Planning and Engineering Management,Co-Ed,124,9,2008,"Dr APJ Abdul Kalam Technical University, Lucknow",Puraheya,Uttar Pradesh,Private,356000
St Soldier Institute of Engineering and Technology,Co-Ed,1111,77,2010,"IK Gujral Punjab Technical University, Jalandhar",Gopalpur Alias Bidh,Punjab,Private,256000
Sri Vidya College of Engineering and Technology,Co-Ed,1213,112,2008,"Anna University, Chennai",Virudhunagar,Tamil Nadu,Private,143333.3333
Sri Satya Sai College of Engineering,Co-Ed,1254,155,2006,"RKDF University, Bhopal",Bhopal,Madhya Pradesh,Private,145830.7692
Sri Ranganathar Institute of Engineering and Technology,Co-Ed,788,81,2011,"Anna University, Chennai",Coimbatore,Tamil Nadu,Private,160000
Sri Chundi Ranganayakulu Engineering College,Co-Ed,688,128,1999,"Jawaharlal Nehru Technological University, Kakinada",Guntur,Andhra Pradesh,Private,97830.76923
Sri Balaji College of Engineering and Technology,Co-Ed,554,31,2000,"Rajasthan Technical University, Kota",Jaipur,Rajasthan,Private,213125
Sreepathy Institute of Management and Technology,Co-Ed,843,77,2009,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Palakkad,Kerala,Private,396000
SR International Institute of Technology,Co-Ed,811,57,2011,"Jawaharlal Nehru Technological University, Hyderabad",Bandlaguda,Telangana,Private,720000
Sophitorium Engineering College,Co-Ed,1080,106,2009,"Biju Patnaik University of Technology, Rourkela",Khurdha,Odisha,Private,210833.3333
Shri Andal Alagar College of Engineering,Co-Ed,692,152,2001,"Anna University, Chennai",Mamandur,Tamil Nadu,Private,155714.2857
Shreenivasa Engineering College,Co-Ed,947,106,2010,"Anna University, Chennai",Dharmapuri,Tamil Nadu,Private,160000
Shree Ram Mulkh College of Technical Education,Co-Ed,333,54,2007,,Naraingarh,Haryana,Private,74500
Shree Motilal Kanhaiyalal Fomra Institute of Technology,Co-Ed,428,118,2001,"Anna University, Chennai",Chennai,Tamil Nadu,Private,160000
Shree Digamber Institute of Technology,Co-Ed,633,66,2009,"Rajasthan Technical University, Kota",Gumanpura,Rajasthan,Private,238857.1429
Shivalik Institute of Engineering and Technology,Co-Ed,811,69,2007,"Kurukshetra University, Kurukshetra",Ambala,Haryana,Private,216887.5
Shanmuganathan Engineering College,Co-Ed,654,88,2001,"Anna University, Chennai",Arasampatti,Tamil Nadu,Private,160000
Seshachala Institute of Technology,Co-Ed,425,106,2008,"Jawaharlal Nehru Technological University, Anantapur",Gollakandriga,Andhra Pradesh,Private,131000
SBM College of Engineering and Technology,Co-Ed,2205,176,2009,"Anna University, Chennai",Ammakulathupatti,Tamil Nadu,Private,160000
Satyasai Engineering College,Co-Ed,1704,106,1999,"Biju Patnaik University of Technology, Rourkela",Balasore,Odisha,Private,173333.3333
Sat Priya Group of Institutions,Co-Ed,811,96,2007,"Maharshi Dayanand University, Rohtak",Rohtak,Haryana,Private,170146.1538
Saraswati Institute of Engineering and Technology,Co-Ed,561,68,2008,"Dr APJ Abdul Kalam Technical University, Lucknow",Ghaziabad,Uttar Pradesh,Private,169000
Saraswathy College of Engineering and Technology,Co-Ed,191,65,2010,"Anna University, Chennai",Tindivanam,Tamil Nadu,Private,160000
Sakthi Mariamman Engineering College,Co-Ed,197,117,2001,"Anna University, Chennai",Mevalurkuppam,Tamil Nadu,Private,147500
Sachdeva Institute of Technology,Co-Ed,462,70,2001,"Dr APJ Abdul Kalam Technical University, Lucknow",Shehzadpur Pauri,Uttar Pradesh,Private,220000
SPB Patel Engineering College,Co-Ed,595,123,2006,"Gujarat Technological University, Ahmedabad",Ahmedabad,Gujarat,Private,239538.4615
RVS Padhmavathy College of Engineering and Technology,Co-Ed,811,90,2011,"Anna University, Chennai",Nemalur,Tamil Nadu,Private,160000
RKDF College of Engineering,,828,164,2006,"Bhabha University, Bhopal",Bhopal,Madhya Pradesh,Private,143750
Ram-Eesh Institute of Engineering and Technology,Co-Ed,811,34,2017,,Greater Noida,Uttar Pradesh,Private,132000
Ramarani Institute of Technology,Co-Ed,1312,39,2009,,Balasore,Odisha,Private,79800
Rakshpal Bahadur College of Engineering and Technology,Co-Ed,350,72,2007,"Dr APJ Abdul Kalam Technical University, Lucknow",Babia,Uttar Pradesh,Private,227250
PSN Institute of Technology and Science,Co-Ed,684,118,2009,"Anna University, Chennai",Palayamkottai,Tamil Nadu,Private,160000
Priyadarshini College of Engineering,Co-Ed,103,94,2001,"Jawaharlal Nehru Technological University, Anantapur",Sullurupeta,Andhra Pradesh,Private,113444.4444
Prince Dr K Vasudevan College of Engineering and Technology,Co-Ed,350,63,2009,"Anna University, Chennai",Chennai,Tamil Nadu,Private,160000
PR Patil College of Engineering and Technology,Co-Ed,811,59,,"Sant Gadge Baba Amravati University, Amravati",Kathora,Maharashtra,Private,234625
Ponnaiyah Ramajayam College of Engineering and Technology,Co-Ed,811,116,2006,"Anna University, Chennai",Vallam,Tamil Nadu,Private,160000
Patiala Institute of Engineering and Technology for Women,Female,135,29,2008,"Maharaja Ranjit Singh Punjab Technical University, Bathinda",Nandpur Kesho,Punjab,Private,218158.3333
Padmashri Dr VB Kolte College of Engineering,Co-Ed,913,99,2010,"Sant Gadge Baba Amravati University, Amravati",Malkapur,Maharashtra,Private,178000
New Prince Shri Bhavani College of Engineering and Technology,Co-Ed,778,139,2008,"Anna University, Chennai",Chennai,Tamil Nadu,Private,135000
Narayanadri Institute of Science and Technology,Co-Ed,122,90,2009,"Jawaharlal Nehru Technological University, Anantapur",Kadapa,Andhra Pradesh,Private,112571.4286
Naraina College of Engineering and Technology,Co-Ed,419,119,2007,"Dr APJ Abdul Kalam Technical University, Lucknow",Kanpur,Uttar Pradesh,Private,231866.6667
Nanasaheb Mahadik College of Engineering,Co-Ed,898,17,2011,"Dr Babasaheb Ambedkar Technological University, Lonere",Ashta,Maharashtra,Private,226166.6667
Nagarjuna Institute of Engineering Technology and Management,Co-Ed,371,48,2009,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Satnavari,Maharashtra,Private,296000
Mina Institute of Engineering and Technology for Women,Female,260,100,2008,"Jawaharlal Nehru Technological University, Hyderabad",Miryalaguda,Telangana,Private,51875
Millennium Institute of Technology,Co-Ed,811,165,,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Bhopal,Madhya Pradesh,Private,154666.6667
Meenakshi Ramaswamy Engineering College,Co-Ed,857,123,,"Anna University, Chennai",Thathanur,Tamil Nadu,Private,148333.3333
Matoshri Pratishthans Group of Institutions,Co-Ed,1056,86,2009,"Dr Babasaheb Ambedkar Technological University, Lonere",Khupsarwadi,Maharashtra,Private,169266.6667
Malabar Institute of Technology,Co-Ed,484,63,2010,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Anjarakandy,Kerala,Private,174285.7143
Maharashtra College of Engineering,Co-Ed,225,30,1983,"Swami Ramanand Teerth Marathwada University, Nanded",Nilanga,Maharashtra,Private,146000
Maharana Pratap College of Technology,Co-Ed,503,121,1996,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Gwalior,Madhya Pradesh,Private,144083.3333
Maharana Institute of Technology and Sciences,Co-Ed,811,61,2008,"Dr APJ Abdul Kalam Technical University, Lucknow",Kanpur,Uttar Pradesh,Private,357000
Kruti Institute of Technology and Engineering,Co-Ed,244,51,2008,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Nardaha Village,Chhattisgarh,Private,263000
Krishnaveni Engineering College for Women,Female,436,70,2008,"Jawaharlal Nehru Technological University, Kakinada",Kesanapalli,Andhra Pradesh,Private,112400
Kopal Institute of Science and Technology,Co-Ed,691,76,2009,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Bhopal,Madhya Pradesh,Private,153555.5556
KMBB College of Engineering and Technology,Co-Ed,947,46,2009,"Biju Patnaik University of Technology, Rourkela",Bhubaneshwar,Odisha,Private,201000
Kalol Institute of Technology and Research Centre,Co-Ed,1200,105,2007,"Gujarat Technological University, Ahmedabad",Piyaj,Gujarat,Private,213583.3333
KR Gouri Amma College of Engineering,Co-Ed,276,62,2009,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Thuravoor Thekku,Kerala,Private,260000
Jawaharlal Institute of Technology,Co-Ed,1864,154,1997,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Borawan,Madhya Pradesh,Private,134800
Jawahar Engineering College,Co-Ed,258,98,2010,"Anna University, Chennai",Chennai,Tamil Nadu,Private,160000
James College of Engineering and Technology,Co-Ed,692,168,2007,"Anna University, Chennai",Eracha Kulam,Tamil Nadu,Private,138750
Jagan Nath Gupta Institute of Engineering and Technology,Co-Ed,446,53,2004,"Rajasthan Technical University, Kota",Jaipur,Rajasthan,Private,315000
JT Mahajan College of Engineering,Co-Ed,813,50,1984,"Dr Babasaheb Ambedkar Technological University, Lonere",Faizpur,Maharashtra,Private,310666.6667
International Institute of Technology and Management,Co-Ed,811,80,2010,"Deen Bandhu Chhotu Ram University of Science and Technology, Murthal",Sonipat,Haryana,Private,166135
Institute of Technology and Sciences,Co-Ed,811,107,2008,"Maharshi Dayanand University, Rohtak",Bhiwani,Haryana,Private,162300
IITT College of Engineering,Co-Ed,811,121,1997,"Himachal Pradesh Technical University, Hamirpur",Kala Amb,Himachal Pradesh,Private,213333.3333
Himachal Institute of Engineering and Technology,Co-Ed,450,112,2010,"Himachal Pradesh Technical University, Hamirpur",Kangra,Himachal Pradesh,Private,228307.6923
Gwalior Institute of Information Technology,Co-Ed,534,96,2008,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Gwalior,Madhya Pradesh,Private,182000
Guru Ram Dass Institute of Engineering and Technology,Co-Ed,187,54,2009,"Maharaja Ranjit Singh Punjab Technical University, Bathinda",Lehra Mohabbat,Punjab,Private,228186.6667
Govindrao Wanjari College of Engineering and Technology,Co-Ed,728,40,2008,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Nagpur,Maharashtra,Private,240100
Gojan School of Business and Technology,Co-Ed,1064,165,2005,"Anna University, Chennai",Nallur,Tamil Nadu,Private,160000
Godavari College of Engineering,Co-Ed,545,72,1999,"Dr Babasaheb Ambedkar Technological University, Lonere",Jalgaon,Maharashtra,Private,161068.8889
Global Research Institute of Management and Technology,Co-Ed,497,74,2008,"Kurukshetra University, Kurukshetra",Radaur,Haryana,Private,338700
Gwalior Institute of Technology and Science,Co-Ed,811,28,1989,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Gwalior,Madhya Pradesh,Private,224000
Girdhar Shiksha Evam Samaj Kalyan Samiti Group of Institutions,Co-Ed,621,72,2009,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Bhopal,Madhya Pradesh,Private,189142.8571
GCRG Group of Institutions,Co-Ed,73,108,2009,"Dr APJ Abdul Kalam Technical University, Lucknow",Rampur Devrai,Uttar Pradesh,Private,254428.5714
Gandhi Institute of Excellent Technocrats,Co-Ed,830,110,2009,"Biju Patnaik University of Technology, Rourkela",Ghangapatna,Odisha,Private,236000
Gandhi Academy of Technology and Engineering,Co-Ed,862,82,2009,"Biju Patnaik University of Technology, Rourkela",Gobindanagar,Odisha,Private,200000
Ferozepur College of Engineering and Technology,Co-Ed,197,68,2009,"Maharaja Ranjit Singh Punjab Technical University, Bathinda",Moga,Punjab,Private,164725
Fabtech Technical Campus,Co-Ed,1171,92,2011,"Dr Babasaheb Ambedkar Technological University, Lonere",Solapur,Maharashtra,Private,202727.2727
Dr Sau Kamaltai Gawai Institute of Engineering and Technology,Co-Ed,600,84,2008,"Sant Gadge Baba Amravati University, Amravati",Amravati,Maharashtra,Private,205375
Dr KV Subba Reddy College of Engineering for Women,Female,1323,103,2008,"Jawaharlal Nehru Technological University, Anantapur",Kurnool,Andhra Pradesh,Private,125250
Dr Bhausaheb Nandurkar College of Engineering and Technology,Co-Ed,297,23,2007,"Sant Gadge Baba Amravati University, Amravati",Bhoyar,Maharashtra,Private,200000
CSI College of Engineering,Co-Ed,1113,108,1998,"Anna University, Chennai",Nilgiris,Tamil Nadu,Private,160000
Christian College of Engineering and Technology,Co-Ed,1212,126,2001,"Anna University, Chennai",Dindigul,Tamil Nadu,Private,233333.3333
Brown Hills College of Engineering and Technology,Co-Ed,811,29,2007,"Al Falah University, Faridabad",Faridabad,Haryana,Private,113333.3333
Bhopal Institute of Technology and Science,Co-Ed,811,101,2002,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Bhopal,Madhya Pradesh,Private,182500
Bharathidasan Engineering College,Co-Ed,846,119,2002,"Anna University, Chennai",Bandarapalli,Tamil Nadu,Private,280000
Bhabha College of Engineering,Co-Ed,811,141,2008,"RKDF University, Bhopal",Bhopal,Madhya Pradesh,Private,175461.5385
Babu Sunder Singh Institute of Technology and Management,Co-Ed,811,103,2010,"Dr APJ Abdul Kalam Technical University, Lucknow",Lucknow,Uttar Pradesh,Private,160250
Avanthi's Research and Technological Academy,Co-Ed,851,123,2008,"Jawaharlal Nehru Technological University, Kakinada",Nandigam,Andhra Pradesh,Private,133375
Asians Institute of Technology,Co-Ed,318,105,2009,"Rajasthan Technical University, Kota",Deeppura,Rajasthan,Private,214666.6667
Asan Memorial College of Engineering and Technology,Co-Ed,300,58,2002,"Anna University, Chennai",Kancheepuram,Tamil Nadu,Private,280000
Aryan Institute of Engineering and Technology,Co-Ed,1969,96,2009,"Biju Patnaik University of Technology, Rourkela",Mundala,Odisha,Private,199000
Annai College of Engineering and Technology,Co-Ed,1494,109,2001,"Anna University, Chennai",Kalambaram,Tamil Nadu,Private,160000
Bhubaneshwar Institute of Industrial Technology,Co-Ed,811,81,2010,"Biju Patnaik University of Technology, Rourkela",Trutiapada,Odisha,Private,220000
Rattan Institute of Technology and Management,Co-Ed,850,115,2008,"Maharshi Dayanand University, Rohtak",Palwal,Haryana,Private,191785.7143
ANA College of Engineering and Management Studies,Co-Ed,492,102,2009,"Dr APJ Abdul Kalam Technical University, Lucknow",Bareilly,Uttar Pradesh,Private,179100
Jaipur Institute of Technology- Group of Institutions,Co-Ed,742,100,2010,"Rajasthan Technical University, Kota",Kalwara,Rajasthan,Private,246400
Medha Institute of Science and Technology for Women,,811,69,,,Khammam,Telangana,Private,120000
BVC College of Engineering,Co-Ed,939,95,2009,"Jawaharlal Nehru Technological University, Kakinada",East Godavari,Andhra Pradesh,Private,99157.14286
Chadalawada Venkata Subbaiah College of Engineering,Co-Ed,346,46,2008,"Jawaharlal Nehru Technological University, Anantapur",Tirupati,Andhra Pradesh,Private,100166.6667
Golden Valley Integrated Campus,Co-Ed,811,199,2009,"Jawaharlal Nehru Technological University, Anantapur",Madanapalle,Andhra Pradesh,Private,94000
Tudi Ram Reddy Institute of Technology and Science,Co-Ed,1014,176,2008,"Jawaharlal Nehru Technological University, Hyderabad",Gudur,Telangana,Private,345214.2857
Jai Parkash Mukand Lal Innovative Engineering and Technology Institute,Co-Ed,540,11,2012,"Kurukshetra University, Kurukshetra",Radaur,Haryana,Private,264000
Adhiparasakthi College of Engineering,Co-Ed,629,80,2001,"Anna University, Chennai",Paradharami,Tamil Nadu,Private,145714.2857
Priyadarshini Institute of Technology,Co-Ed,231,96,2005,"Jawaharlal Nehru Technological University, Anantapur",Nellore,Andhra Pradesh,Private,132571.4286
CSMSS CHH Shahu College of Engineering,Co-Ed,1610,105,2013,"Dr Babasaheb Ambedkar Technological University, Lonere",Aurangabad,Maharashtra,Private,233750
Ideal Institute of Technology,Co-Ed,450,53,2013,"University of Mumbai, Mumbai",Posheri,Maharashtra,Private,264000
GDMM College of Engineering and Technology,Co-Ed,811,133,2008,"Jawaharlal Nehru Technological University, Kakinada",Nandigama,Andhra Pradesh,Private,107964.2857
Sai Ganapathi Engineering College,Co-Ed,804,72,2013,"Jawaharlal Nehru Technological University, Kakinada",Visakhapatnam,Andhra Pradesh,Private,159000
Focus Institute of Science and Technology,Co-Ed,238,53,2014,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Killannur,Kerala,Private,200000
S S Agrawal Institute of Engineering and Technology,Co-Ed,809,29,2014,"Gujarat Technological University, Ahmedabad",Navsari,Gujarat,Private,200000
Sardar Patel College Of Engineering,Co-Ed,998,109,2014,"Gujarat Technological University, Ahmedabad",Vallabh Vidhyanagar,Gujarat,Private,245000
Chaudhary Ranbir Singh University,Co-Ed,1203,57,2014,,Jind,Haryana,Private,80968.77778
Hon Shri Babanrao Pachpute Vichardhara Trust's Group of Institutions,Co-Ed,79,82,2009,"Savitribai Phule Pune University, Pune",Jangalewadi,Maharashtra,Private,139708.8889
Sai Nath College,Co-Ed,811,51,1995,"Sai Nath University, Ranchi",Agra,Uttar Pradesh,Private,84000
Arunachal University of Studies,Co-Ed,4301,26,2012,,Namsai,Arunachal Pradesh,Private,131024.1611
Techno College of Engineering,Co-Ed,739,52,2014,"Tripura University, Suryamaninagar",Agartala,Tripura,Private,364000
Aurora's Technological and Management Academy,Co-Ed,1879,69,2010,"Jawaharlal Nehru Technological University, Hyderabad",Ghatkesar,Telangana,Private,118500
SDM Technical Institute,Co-Ed,568,32,2008,,Ujire,Karnataka,Private,38490
Satara Polytechnic,Co-Ed,655,27,1983,,Satara,Maharashtra,Private,114000
Dalia Institute of Diploma Studies,Co-Ed,843,111,2009,"Gujarat Technological University, Ahmedabad",Kanera,Gujarat,Private,135000
Shree Tapi Brahmcharyashram Sabha College of Diploma Engineering,Co-Ed,1361,56,2002,"Gujarat Technological University, Ahmedabad",Surat,Gujarat,Private,115833.3333
Bharat Institute of Engineering and Technology,Co-Ed,989,35,2009,,Brahmapur,Odisha,Private,79500
Mehr Chand Polytechnic College,Co-Ed,1638,25,1954,,Jalandhar,Punjab,Private,84654.54545
Yashwantrao Chavan Institute of Polytechnic,Co-Ed,711,44,2009,,Beed,Maharashtra,Private,99000
Sri Vignesh Polytechnic College,Co-Ed,813,45,2009,,Tiruchirappalli,Tamil Nadu,Private,90000
KK Wagh Polytechnic,Co-Ed,2047,68,1983,,Nashik,Maharashtra,Private,135000
Swami Nithyananda Polytechnic College,Co-Ed,562,20,1966,,Kanhangad,Kerala,Private,20812.5
PMV Polytechnic,Co-Ed,1664,8,1909,,Mathura,Uttar Pradesh,Private,63055
Six Sigma Institute of Technology and Science,Co-Ed,668,44,2011,,Amarpur,Uttarakhand,Private,105000
Camellia Institute of Polytechnic,Co-Ed,986,52,2012,,Budbud,West Bengal,Private,54000
Bengal College of Polytechnic,Co-Ed,761,46,2013,,Durgapur,West Bengal,Private,107250
Bengal Institute of Polytechnic,Co-Ed,446,36,2010,,Hetampur,West Bengal,Private,100400
Hitkarini College of Architecture and Town Planning,Co-Ed,811,15,2009,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Jabalpur,Madhya Pradesh,Private,276000
CRK Polytechnic College,Co-Ed,142,41,2013,,Hajipur,Bihar,Private,143000
Acharya Polytechnic,Co-Ed,1591,122,2018,,Bengaluru,Karnataka,Private,98250
PVP Polytechnic,Co-Ed,1223,61,1987,,Bengaluru,Karnataka,Private,21763.33333
Prasad Polytechnic,Co-Ed,811,59,2008,,Jaunpur,Uttar Pradesh,Private,74759.09091
Girija Devi Polytechnic College,Co-Ed,460,36,2011,,Bihiya,Bihar,Private,135000
Seethi Sahib Memorial Polytechnic College,Co-Ed,1036,48,1962,,Tirur,Kerala,Private,19950
Ganpat University Institute of Computer Technology,Co-Ed,253,29,2017,"Ganpat University, Mehsana",Mehsana,Gujarat,Private,419285.7143
ICFAI Tech School,Co-Ed,811,66,1984,"ICFAI Foundation for Higher Education, Hyderabad",Hyderabad,Telangana,Private,630727.2727
Mukesh Patel School of Technology Management and Engineering,Co-Ed,811,94,2007,"Narsee Monjee Institute of Management Studies, Mumbai",Shirpur,Maharashtra,Private,1435000
Shivganga Charitable Trust,Co-Ed,316,2,2012,"Shivaji University, Kolhapur",Patgaon,Maharashtra,Private,174500
Saraswati Institute of Technology,Co-Ed,811,13,2008,,Navi Mumbai,Maharashtra,Private,154000
Excelsior Education Society KC College of Engineering,Co-Ed,1130,61,2001,"University of Mumbai, Mumbai",Thane,Maharashtra,Private,437500
Ambal Professional Group of Institutions,Co-Ed,898,167,2010,"Anna University, Chennai",Coimbatore,Tamil Nadu,Private,114020
Bharat Engineering College,Co-Ed,811,219,2001,"Jawaharlal Nehru Technological University, Hyderabad",Vastunagar,Telangana,Private,268000
Girijabai Sail Institute of Technology,Co-Ed,404,30,2012,"Visvesvaraya Technological University, Belagavi",Majali,Karnataka,Private,280000
Shri Dadaji Institute of Technology and Science,Co-Ed,576,83,2004,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Khandwa,Madhya Pradesh,Private,163428.5714
Saraswati Institute of Engineering and Technology,Co-Ed,476,118,2008,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Jabalpur,Madhya Pradesh,Private,140409.0909
Sakshi Institute of Technology and Management,Co-Ed,94,80,2012,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Guna,Madhya Pradesh,Private,91000
Mahakal Institute of Technology,Co-Ed,1960,149,2001,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Datana,Madhya Pradesh,Private,164727.2727
Dhaneswar Rath Institute of Engineering and Management Studies,Co-Ed,1012,130,1999,"Biju Patnaik University of Technology, Rourkela",Tangi,Odisha,Private,247454.5455
Vedic Gurukul Institute of Engineering and Technology,Co-Ed,215,60,2012,"Rajasthan Technical University, Kota",Jaipur,Rajasthan,Private,290000
Shri Ram College of Engineering and Management,Co-Ed,653,65,2008,"Maharshi Dayanand University, Rohtak",Palwal,Haryana,Private,209071.4286
DR College of Engineering and Technology,Co-Ed,811,36,2008,"Kurukshetra University, Kurukshetra",Kakoda,Haryana,Private,246000
Shri Krishan Institute of Engineering and Technology,Co-Ed,184,25,1997,"Kurukshetra University, Kurukshetra",Kurukshetra,Haryana,Private,195981.6667
Mata Rajkaur Institute of Engineering and Technology,Co-Ed,811,45,2009,"Maharshi Dayanand University, Rohtak",Rewari,Haryana,Private,166444.4444
Alice Institute of Technology,Co-Ed,811,69,2003,,Angara,Jharkhand,Private,166000
GRD Institute of Management and Technology,Co-Ed,271,124,2008,"Uttarakhand Technical University, Dehradun",Dehradun,Uttarakhand,Private,258000
KIPM College of Engineering and Technology,Co-Ed,811,68,2009,"Dr APJ Abdul Kalam Technical University, Lucknow",Jhungia,Uttar Pradesh,Private,261142.8571
RV Institute of Technology,Co-Ed,811,96,2009,"Dr APJ Abdul Kalam Technical University, Lucknow",Bijnor,Uttar Pradesh,Private,156000
Institute of Technology and Management,Co-Ed,438,88,2009,"Dr APJ Abdul Kalam Technical University, Lucknow",Maharajganj,Uttar Pradesh,Private,252333.3333
Indus College of Engineering,Co-Ed,540,57,2007,"Biju Patnaik University of Technology, Rourkela",Barakuda,Odisha,Private,196666.6667
Kunwar SatyaVira College of Engineering and Management,Co-Ed,833,87,1999,"Dr APJ Abdul Kalam Technical University, Lucknow",Bijnor,Uttar Pradesh,Private,233428.5714
School of Research and Technology People's University,Co-Ed,811,114,2007,"Peoples University, Bhopal",Bhopal,Madhya Pradesh,Private,239888.8889
Younus College of Engineering and Technology,Co-Ed,1092,117,2002,"University of Kerala, Thiruvananthapuram",Kollam,Kerala,Private,300000
Yashoda Technical Campus,Co-Ed,498,138,2011,"Dr Babasaheb Ambedkar Technological University, Lonere",Satara,Maharashtra,Private,219066.6667
Vindhya Institute of Technology and Science,Co-Ed,729,146,2006,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Indore,Madhya Pradesh,Private,130353.8462
Vedant Institute of Management and Technology,Co-Ed,811,73,2008,"Dr APJ Abdul Kalam Technical University, Lucknow",Ghaziabad,Uttar Pradesh,Private,263000
Vedang Institute of Technology,Co-Ed,811,91,2009,"Biju Patnaik University of Technology, Rourkela",Narangarh,Odisha,Private,154725
Vandayar Engineering College,Co-Ed,359,98,2009,"Anna University, Chennai",Thanjavur,Tamil Nadu,Private,280000
VRS College of Engineering and Technology,Co-Ed,1164,105,1994,"Anna University, Chennai",Arasur,Tamil Nadu,Private,160000
Unnamalai Institute of Technology,Co-Ed,676,70,2009,"Anna University, Chennai",Palaya Appaneri,Tamil Nadu,Private,160000
Travancore Engineering College,Co-Ed,811,70,2002,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Kollam,Kerala,Private,160000
Techno India NJR Institute of Technology,Co-Ed,1061,48,2008,"Rajasthan Technical University, Kota",Biliya,Rajasthan,Private,245000
Tamizhan College of Engineering and Technology,Co-Ed,146,101,2008,"Anna University, Chennai",Chenbagaramanputhoor,Tamil Nadu,Private,190000
Tagore Institute of Engineering and Technology,Co-Ed,937,89,2008,"Anna University, Chennai",Deviyakurichi,Tamil Nadu,Private,143333.3333
Swami Devi Dyal Institute of Engineering and Technology,Co-Ed,2026,173,2001,"Kurukshetra University, Kurukshetra",Palasra,Haryana,Private,236833.3333
Suraj College of Engineering and Technology,Co-Ed,65,147,2008,"Maharshi Dayanand University, Rohtak",Salimabad,Haryana,Private,156375
Surabhi College of Engineering and Technology,Co-Ed,811,65,2008,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Sukhi Sewania,Madhya Pradesh,Private,187200
Sumathi Reddy Institute of Technology for Women,Female,947,73,2009,"Jawaharlal Nehru Technological University, Hyderabad",Hasanparthy,Telangana,Private,195000
Suguna College of Engineering,Co-Ed,292,68,1973,"Anna University, Chennai",Coimbatore,Tamil Nadu,Private,160000
St Margaret Engineering College,Co-Ed,52,8,2002,"Rajasthan Technical University, Kota",Neemrana,Rajasthan,Private,247500
St Wilfred's Institute of Technology,Co-Ed,811,69,2011,"University of Mumbai, Mumbai",Vichumbe,Maharashtra,Private,240000
SSLD Varshney Institute of Management and Engineering,Co-Ed,811,14,2010,"Dr APJ Abdul Kalam Technical University, Lucknow",Aligarh,Uttar Pradesh,Private,141000
SRS College of Engineering and Technology,Co-Ed,109,59,2009,"Anna University, Chennai",Mookanur,Tamil Nadu,Private,160000
SRINIX College of Engineering,Co-Ed,1297,59,2009,"Biju Patnaik University of Technology, Rourkela",Gopalgoan,Odisha,Private,180000
Sri Vani School of Engineering,Co-Ed,811,76,2009,"Jawaharlal Nehru Technological University, Kakinada",Vijayawada,Andhra Pradesh,Private,201000
